"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201801","2호선","구로디지털단지","185","29","38032","6162","56066","21176","152806","74800","205168","299442","127321","173273","77336","69318","71545","57259","76340","55900","80730","70641","72791","76885","73838","79126","84208","86207","117259","113762","265193","170440","164394","172684","91630","106069","78591","104684","61938","106400","31493","69617","4660","17249","0","289","0","0","0","0","20180203"
"201801","2호선","대림(구로구청)","335","19","33062","3436","34763","12756","77211","23481","111661","71569","78634","44572","46675","37584","39909","41125","42450","40052","45458","41586","40971","41816","40500","47841","43316","51081","53070","69965","73596","84676","40922","75569","29139","50940","23718","61453","17108","65387","9251","34242","1288","8863","5","315","0","0","0","0","20180203"
"201801","2호선","신도림","2636","19","36606","5820","56496","21266","155047","47729","164820","136530","100303","83913","70639","77491","69411","74450","81533","84482","88826","90006","89738","83988","92909","88375","99256","98706","118926","121130","170854","192453","108039","185070","90028","100897","90299","90677","72408","91977","37623","69845","3453","30028","10","3414","2","3","0","0","20180203"
"201801","2호선","문래","25","18","3819","2010","13762","9758","45206","31297","48699","120842","27174","55311","20888","23546","21260","22400","24417","23119","26781","24823","25702","23928","27394","23135","29791","24815","42755","28028","100122","46326","42840","44911","26308","25095","24910","22525","20295","20587","9218","14245","1544","4416","4","114","0","0","0","0","20180203"
"201801","2호선","영등포구청","39","9","6024","2527","14272","12107","43870","37097","50508","123270","32117","58369","24623","28898","25972","26233","27593","26823","30357","30036","31362","30334","33193","29142","35146","30751","49879","35687","109651","54676","47654","49348","33414","27373","32100","25349","25371","23605","10896","16610","1673","5988","2","152","0","0","0","0","20180203"
"201801","2호선","당산","37","25","6653","3223","16715","13736","53367","29759","67541","89886","41410","41870","27700","22297","27295","22452","27304","23558","28112","26329","25902","26583","26621","28195","27690","33462","41947","42563","71941","70366","38762","66583","24539","39991","23754","38634","19777","37456","10172","25802","1712","7389","1","191","0","0","0","0","20180203"
"201801","2호선","합정","152","52","10582","3237","18773","18726","50049","40467","63326","103074","40976","78953","31137","46946","32594","44064","36421","49401","41931","59041","42155","55948","46043","55644","53595","61256","70433","74641","120388","114117","80334","102100","63170","51178","76081","40079","75206","35717","41427","25757","6407","8398","1","278","0","0","0","0","20180203"
"201801","2호선","홍대입구","1981","47","44924","4590","43748","21918","77790","36711","95760","122316","67809","125026","58247","94304","64594","114177","75129","152055","89354","181718","95643","179582","116322","174914","146682","184006","181184","209785","225700","269993","181736","237984","173187","128222","216480","97042","247964","81008","138727","59415","16947","21738","5","2355","0","0","0","0","20180203"
"201801","2호선","신촌","95","6","11925","3786","17642","16589","41843","39546","60110","95206","43372","125630","42287","81752","55442","79920","69447","89494","80038","104650","78672","89767","89532","86127","102832","87853","124582","105400","131047","149964","98700","124735","101585","63044","109297","50731","123312","45107","63108","32458","9725","10141","3","208","0","0","0","0","20180203"
"201801","2호선","이대","22","9","3079","1108","6834","7890","18393","14147","27066","44147","18762","41927","16692","36022","19050","31863","30642","40499","30870","39908","30608","35324","36882","33494","45974","32747","54058","32735","50505","38445","34679","33445","28201","19131","29961","17338","23473","17060","7812","12878","917","3819","4","65","0","0","0","0","20180203"
"201801","2호선","아현","53","25","4564","755","9963","3895","26312","8155","39693","18546","23042","13327","17083","10249","16423","9861","18243","11351","17190","13183","15619","13824","15852","15553","15859","17056","18117","20939","21298","30789","13135","29678","9010","18600","7422","18570","5081","18687","2904","12765","434","3987","3","57","0","0","0","0","20180203"
"201801","2호선","충정로(경기대입구)","35","19","3435","1114","7825","6722","18950","19790","27759","75281","17122","40783","14033","15185","15115","12764","14584","12855","16484","15728","16185","14330","16655","14816","17997","15409","24224","18358","65387","25383","25878","22199","14152","14216","13199","13518","9923","13084","4576","8736","650","2910","1","82","0","0","0","0","20180203"
"201801","2호선","용답","3","1","2452","191","3392","1095","7503","1468","14711","2867","6639","1825","4415","1679","3711","2185","4161","2509","4240","2899","3867","3196","3267","4188","3752","5405","3669","6435","3538","10557","2332","8486","1362","4980","1332","5762","903","5601","392","3674","67","1147","0","0","0","0","0","0","20180203"
"201801","2호선","신답","11","6","804","180","1419","1280","5312","941","8713","1847","3013","1252","2106","1139","1877","1309","1892","1419","2047","1468","1637","1778","1640","2383","2086","2685","2150","3073","2154","6887","1195","6566","610","3243","534","3426","555","2609","149","1945","16","542","2","2","0","0","0","0","20180203"
"201801","2호선","신설동","18","6","999","321","1418","1949","3030","6877","4941","19322","4000","14563","4497","9374","6272","9229","7398","9091","9024","9393","9985","8577","11411","7425","11951","6451","14761","6696","22539","6820","8893","5276","5019","3292","4014","2691","3038","2887","1174","2000","131","702","0","139","0","0","0","0","20180203"
"201801","2호선","도림천","2","1","376","440","1222","886","3437","3020","3225","6229","1957","2207","1567","1587","1358","1237","2196","1822","1563","1346","1744","1532","2073","1485","2046","1557","2557","1924","3745","2978","1993","2911","1224","1855","1168","1673","471","1506","176","1069","29","386","1","7","0","0","0","0","20180203"
"201801","2호선","양천구청","33","6","4517","1235","11373","2100","30342","4872","29204","10584","17022","6946","12117","5406","11569","5610","11574","7081","10815","8346","9370","8789","8121","10517","8980","12363","10181","15836","10537","24130","4797","27427","3275","16424","2690","14688","2661","13921","879","11450","190","4023","0","80","0","0","0","0","20180203"
"201801","2호선","신정네거리","11","1","8242","1240","14234","3245","43780","4538","43228","10577","24240","8456","15765","7095","14597","8217","15076","9861","14453","11308","13039","12370","11926","15103","12616","18978","13332","25205","13667","39640","8475","39322","5954","22132","5240","20719","4302","18586","2052","13398","325","3850","5","226","0","0","0","0","20180203"
"201801","2호선","용두(동대문구청)","16","12","913","123","1363","920","4727","2304","8262","6565","3756","3698","3034","3023","3490","3700","3797","3717","4434","4595","4538","4704","4858","4785","4907","4537","5225","4655","6894","7020","2882","6156","2099","3317","1622","3053","1126","2652","549","1991","77","573","1","4","0","0","0","0","20180203"
"201801","3호선","지축","11","11","276","236","1444","1505","5167","1205","5845","1424","3317","1097","2482","984","2085","1182","2231","1402","1994","1611","1749","1869","1530","2275","1911","2877","2185","3034","1343","5115","555","4856","364","3305","328","2507","145","2116","76","1123","28","130","0","0","0","0","0","0","20180203"
"201801","3호선","구파발","88","23","8982","1727","29051","15239","90099","13793","87954","22182","44423","21532","30537","19429","27041","18866","28186","21965","27934","22989","25469","24626","26245","26346","31894","31428","35359","37743","32987","60696","21223","66275","15522","38125","14673","34020","13321","32373","3860","22490","581","7600","2","438","0","0","0","0","20180203"
"201801","3호선","연신내","233","27","26375","1716","52703","11732","149765","19931","191032","40813","102445","40382","69321","36112","62733","37430","68263","41792","66938","49602","60997","54289","59057","63674","63090","75473","63011","91812","60153","147082","42066","158735","33703","94048","31870","81655","29497","79818","15370","54391","2537","18491","0","6","0","1","0","0","20180203"
"201801","3호선","불광","34","26","9838","1278","20315","7331","59471","9971","76174","31398","40578","32881","28951","27035","27344","25664","28414","28698","31150","33911","29802","34557","30605","35240","33374","39112","33470","44277","37839","66955","23103","65817","17195","37465","15855","33276","11404","31551","4964","20127","823","6251","0","2","0","0","0","0","20180203"
"201801","3호선","녹번","46","15","7501","1390","17616","11496","53267","7771","65557","17436","36743","10692","22535","8420","19869","8508","19434","10182","18760","12048","16678","12932","15384","14843","17499","19193","21286","23930","21918","39854","10318","42237","6716","26378","6156","24112","4576","22392","2150","14830","227","3786","0","0","0","0","0","0","20180203"
"201801","3호선","홍제","60","31","8807","1232","22628","8324","63265","11938","81986","28309","48650","19749","34161","18279","32030","18199","33030","20976","31919","23852","29793","26530","29137","30514","28961","34818","31105","41566","34140","62519","17881","63108","13960","37713","11464","34125","8482","33096","3888","21166","492","5733","1","0","0","1","0","0","20180203"
"201801","3호선","무악재","22","2","1798","135","4815","2126","15047","2875","20401","5338","11430","3778","7768","3466","6901","3551","7067","4014","6318","4842","5283","5518","5318","6346","5308","7758","6389","9606","7545","14748","3911","15262","2830","9715","2380","8946","1795","8794","701","5677","113","1988","0","1","0","0","0","0","20180203"
"201801","3호선","독립문","112","14","4917","457","6370","5080","16236","9430","22717","19927","15581","15629","12505","13369","13136","10965","15114","10999","15146","13550","14885","12709","15748","12919","15438","13179","15846","15340","17487","18953","9016","17662","6569","11261","5106","9885","3388","9617","1343","6626","201","2880","1","940","0","0","0","0","20180203"
"201801","3호선","경복궁(정부서울청사)","54","27","2809","1520","5828","13062","15692","40120","25200","129065","24118","68222","18444","47435","23057","45093","28455","43794","37068","46660","41895","40080","47019","35996","55087","32419","66757","32618","120478","39528","53625","28708","38556","14919","39950","12918","30025","12917","11847","7997","1808","2259","4","81","0","0","0","0","20180203"
"201801","6호선","월드컵경기장(성산)","33","33","1020","1207","2706","3580","8365","5335","13215","11791","6261","8534","5552","8061","6484","9207","7802","10894","8935","13394","10831","12466","13073","12200","14368","10788","13713","10239","14965","14202","8098","12497","6455","7146","6714","6085","6096","5000","3151","3048","665","811","0","7","1","1","0","0","20180203"
