date,emission_factor,Jongno,pm10_rd,MSE
2018-01-23,20,100.091125,19.916666666666668,3213.971884521701
2018-01-24,1,26.36234027777778,25.6875,0.22770470025559503
2018-01-24,5,45.195055555555555,25.6875,190.27236187654321
2018-01-24,10,67.95088888888888,25.6875,893.0970201867282
2018-01-24,20,115.84866666666667,25.6875,4064.517987347223
2018-01-25,1,23.516368055555557,22.145833333333332,0.9391827124083749
2018-01-25,5,40.01697222222222,22.145833333333332,159.68880259297842
2018-01-25,10,64.025875,22.145833333333332,876.9689450008682
2018-01-25,20,110.98222222222222,22.145833333333332,3945.951995408951
2018-01-26,1,28.426166666666667,31.916666666666668,6.091795125000003
2018-01-26,5,45.54244444444444,31.916666666666668,92.8309100246913
2018-01-26,10,70.33810416666667,31.916666666666668,738.103429783203
